data,Está de acordo com o termo?,1. Selecione seu gênero,2. Qual a sua idade?,3. Qual o seu curso?,4. Em qual ano do curso está?,"1. Visibilidade do estado do sistema - O design deve sempre manter os usuários informados sobre o que está acontecendo, utilizando feedback apropriado em um período de tempo razoável [Em processos de múltiplas etapas, o sistema exibe em qual etapa o usuário se encontra]","1. Visibilidade do estado do sistema - O design deve sempre manter os usuários informados sobre o que está acontecendo, utilizando feedback apropriado em um período de tempo razoável [O sistema mantém os usuários informados sobre o que está acontecendo em tempo hábil]","1. Visibilidade do estado do sistema - O design deve sempre manter os usuários informados sobre o que está acontecendo, utilizando feedback apropriado em um período de tempo razoável [Os ícones presentes nos sistemas são facilmente e corretamente reconhecíveis]","2. Correspondência entre o sistema e o mundo real- O design deve se expressar na língua do usuário. Deve seguir as convenções do mundo real, fazendo com que as informações apareçam em uma ordem natural e lógica. [O sistema utiliza jargão interno familiar ao usuário alvo]","2. Correspondência entre o sistema e o mundo real- O design deve se expressar na língua do usuário. Deve seguir as convenções do mundo real, fazendo com que as informações apareçam em uma ordem natural e lógica. [Os ícones presentes nos sistemas são facilmente e corretamente reconhecíveis]","2. Correspondência entre o sistema e o mundo real- O design deve se expressar na língua do usuário. Deve seguir as convenções do mundo real, fazendo com que as informações apareçam em uma ordem natural e lógica. [O sistema evita com que o usuário sinta necessidade de consultar o dicionário frequentemente]","2. Correspondência entre o sistema e o mundo real- O design deve se expressar na língua do usuário. Deve seguir as convenções do mundo real, fazendo com que as informações apareçam em uma ordem natural e lógica. [O sistema usa termos, conceitos e fluxos que são familiares para os usuários]","3. Controle e liberdade do usuário- Os usuários frequentemente realizam ações por engano. É preciso uma ""saída de emergência"" claramente marcada para deixar a ação indesejada sem ter que passar por um processo extenso. [O sistema oferece uma forma de desfazer ações ou sair de uma situação indesejada facilmente]","3. Controle e liberdade do usuário- Os usuários frequentemente realizam ações por engano. É preciso uma ""saída de emergência"" claramente marcada para deixar a ação indesejada sem ter que passar por um processo extenso. [As formas apresentadas de desfazer e sair de situações estão claramente marcadas]","4. Consistência e padrões- Usuários não devem ter que se perguntar se palavras, situações e ações diferentes significam a mesma coisa. Siga convenções da plataforma e da indústria. [O sistema segue padrões consistentes]","4. Consistência e padrões- Usuários não devem ter que se perguntar se palavras, situações e ações diferentes significam a mesma coisa. Siga convenções da plataforma e da indústria. [O sistema utiliza os mesmos termos e ações para funções similares]","5. Prevenção de erros- Boas mensagens de erro são importantes, mas os melhores designs previnem problemas de acontecerem primeiro. [O sistema previne erros antes que eles aconteçam, com validações ou avisos]","5. Prevenção de erros- Boas mensagens de erro são importantes, mas os melhores designs previnem problemas de acontecerem primeiro. [O sistema permite que o usuário revise as informações inseridas antes de confirmar a ação]","6. Reconhecimento em vez de memorização- Minimize a carga de memória dos usuários tornando elementos, ações e opções visíveis. Os usuários não devem ter que lembrar informações de uma parte da interface para outra. Informações necessárias devem ser visíveis ou facilmente recuperadas quando necessário.  [O sistema evita que os usuários tenham que lembrar informações de uma parte para outra]","6. Reconhecimento em vez de memorização- Minimize a carga de memória dos usuários tornando elementos, ações e opções visíveis. Os usuários não devem ter que lembrar informações de uma parte da interface para outra. Informações necessárias devem ser visíveis ou facilmente recuperadas quando necessário.  [O sistema oferece ajuda em contexto]","6. Reconhecimento em vez de memorização- Minimize a carga de memória dos usuários tornando elementos, ações e opções visíveis. Os usuários não devem ter que lembrar informações de uma parte da interface para outra. Informações necessárias devem ser visíveis ou facilmente recuperadas quando necessário.  [O texto utilizado em uma pesquisa é exibido com as respostas]","7. Flexibilidade e eficiência de uso- Atalhos , escondidos de usuários novatos, podem acelerar a interação para o usuário especialista, de modo que o design possa atender tanto usuários inexperientes quanto experientes. Permita que os usuários personalizem ações frequentes. [O sistema oferece formas de uso rápido para usuários experientes, como atalhos ou automações]","7. Flexibilidade e eficiência de uso- Atalhos , escondidos de usuários novatos, podem acelerar a interação para o usuário especialista, de modo que o design possa atender tanto usuários inexperientes quanto experientes. Permita que os usuários personalizem ações frequentes. [O sistema permite a utilização de atalhos de teclado]",8. Design estético e minimalista- Interfaces não devem conter informações irrelevantes ou raramente necessárias. Cada informação extra numa interface compete com informações relevantes e diminui sua visibilidade. [O sistema evita informações desnecessárias ou irrelevantes que sobrecarregam o usuário],8. Design estético e minimalista- Interfaces não devem conter informações irrelevantes ou raramente necessárias. Cada informação extra numa interface compete com informações relevantes e diminui sua visibilidade. [A interface do sistema parece organizado (não bagunçado) ],8. Design estético e minimalista- Interfaces não devem conter informações irrelevantes ou raramente necessárias. Cada informação extra numa interface compete com informações relevantes e diminui sua visibilidade. [O sistema usa decoração na medida certa],"9. Ajude os usuários a reconhecer, diagnosticar e corrigir erros- Mensagens de erro devem ser expressas em linguagem simples (sem códigos de erro), indicar o problema claramente, e construtivamente sugerir uma solução. [As mensagens de erro são claras e ajudam o usuário a entender e corrigir o problema]","9. Ajude os usuários a reconhecer, diagnosticar e corrigir erros- Mensagens de erro devem ser expressas em linguagem simples (sem códigos de erro), indicar o problema claramente, e construtivamente sugerir uma solução. [As mensagens de erro são claramente identificáveis  como mensagens de erro visualmente]","9. Ajude os usuários a reconhecer, diagnosticar e corrigir erros- Mensagens de erro devem ser expressas em linguagem simples (sem códigos de erro), indicar o problema claramente, e construtivamente sugerir uma solução. [O sistema não utiliza código de erro nas mensagens de erro]","10. Ajuda e documentação- O melhor seria que o design não precise de uma explicação adicional. no entanto, pode ser necessário oferecer documentação para ajudar os usuários a entender a completar suas tarefas. [O sistema oferece ajuda ou documentação acessível e útil quando necessário]","10. Ajuda e documentação- O melhor seria que o design não precise de uma explicação adicional. no entanto, pode ser necessário oferecer documentação para ajudar os usuários a entender a completar suas tarefas. [A ajuda/documentação apresenta os passos que o usuário deve seguir]","10. Ajuda e documentação- O melhor seria que o design não precise de uma explicação adicional. no entanto, pode ser necessário oferecer documentação para ajudar os usuários a entender a completar suas tarefas. [O sistema possui uma sessão de perguntas frequentes]",Problemas identificados,Sugestões de Melhorias,,
22/10/2024 11:04:25,Sim,Feminino,23,Ciência da Computação,3,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Indiferente,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo,Indiferente,Indiferente,Concordo,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo,Indiferente,Indiferente,Discordo Totalmente,Falta de descrição dos passos realizados e indicação do que deve ser inserido,,,
22/10/2024 11:06:26,Sim,Masculino,20,Ciência da Computação,3,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Indiferente,Concordo,Concordo,Indiferente,Concordo,Indiferente,Concordo,Concordo,Concordo,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Indiferente,Discordo,Indiferente,Indiferente,Concordo,Concordo,,,,
22/10/2024 11:07:39,Sim,Masculino,19,Ciência da Computação,2,Concordo Totalmente,Concordo,Indiferente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Indiferente,Concordo,Concordo Totalmente,Concordo,Indiferente,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo Totalmente,Indiferente,Concordo,Discordo,Indiferente,"Cadastro de Bairro, porém falha ao carregar bairros cadastrados. Não foi possível continuar o teste por conta dos bairros não serem carregados.","Procurar informar qual parte do processo não está funcionando, se o cadastro não esta funcionando corretamente e apresenta um diagnostico falso negativo, ou se o problema esta apenas no carregamento dos bairros cadastrados.",,
22/10/2024 11:09:15,Sim,Masculino,19,Ciência da Computação,2,Concordo,Concordo,Discordo,Concordo,Discordo,Indiferente,Concordo,Concordo,Discordo Totalmente,Concordo,Discordo,Discordo Totalmente,Concordo,Concordo,Concordo,Indiferente,Indiferente,Discordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo Totalmente,Discordo,Concordo Totalmente,Indiferente,Indiferente,Discordo Totalmente,"Ao cancelar alguma ação, não há comunicação do sistema com o usuário.
Não há muitas telas de confirmação antes de realizar alguma ação.
Não há indicação quando algo erros acontecem (mapa não carregando, etc).","Mais telas de confirmação antes de realizar alguma ação são necessárias, além de informar melhor a realização de outras ações (como cancelar).",,
22/10/2024 11:09:47,Sim,Masculino,20,Ciência da Computação,2,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo,Indiferente,Discordo,Indiferente,Discordo,Discordo,Concordo,Discordo Totalmente,Indiferente,Indiferente,Indiferente,Discordo Totalmente,Concordo Totalmente,Concordo Totalmente,Indiferente,Discordo,Concordo,Concordo Totalmente,Indiferente,Indiferente,Discordo Totalmente,"A necessidade de relembrar o nome dos logradouros foi algo desnecessário. E o cadastro de agentes foi pouco intuitivo. Existe também um problema da falta de comunicação no cancelamento de ações, como um ""deseja sair dessa pagina?"".","Uma aba apenas para cadastro de agentes, sem a ambiguidade de usuário, e o cadastro de ruas ou identificação de rua por região, para seleção dos logradouros necessário, e não a nacessidade de escrita corrente. Também, a implementação de mensagens de comunicação para cancelamento de ações.",,
22/10/2024 11:10:04,Sim,Masculino,19,Ciência da Computação,2,Concordo,Concordo,Discordo,Indiferente,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo Totalmente,Discordo,Concordo,Discordo Totalmente,Discordo,Discordo,Indiferente,Indiferente,Concordo,Concordo,Indiferente,Indiferente,Concordo Totalmente,Indiferente,Concordo,Concordo,Indiferente,Cadastro de Agentes não funciona, Não foi muito intuitivo o uso do programa pela primeira vez, Tive que lembrar o nome do logradouro (ruas) para o cadastro de imóvel,Correção dos problemas acima e divisão melhor da categoria de cadastro
22/10/2024 11:11:56,Sim,Masculino,20,Ciência da Computação,3,Concordo,Concordo,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Indiferente,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,,,,
22/10/2024 11:12:32,Sim,Masculino,19,Ciência da Computação,2,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Indiferente,Concordo,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Indiferente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo,Concordo,Concordo,Indiferente,"Um problema que identifiquei foi durante o cadastro de rotas, onde apenas ao clicar em finalizar no final do processo que uma mensagem aparecia necessitando que a rota tenha um descrição, notificação que poderia ser adicionada logo na janela inicial, além de não ter uma confirmação de que a rota foi criada com sucesso.",,,
22/10/2024 11:13:21,Sim,Masculino,23,Ciência da Computação,2,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Indiferente,Discordo Totalmente,Discordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo,Indiferente,Discordo Totalmente,"Na hora de cadastrar um quarteirão eu não me dei conta de que precisava clicar na ""lupinha"" para buscar pela rua no mapa e marcar os quarteirões e o sistema não me informou isso, tive que pedir ajuda.","Acho que a aba de ajuda ao usuário poderia direcionar a uma página web navegável por meio de um índice ao invés de um pdf além de ter a opção de busca por texto. Também penso que a página de ajuda poderia ter pequenos tutoriais de ações específicas como cadastrar bairros e rotas, por exemplo.",,
22/10/2024 11:13:28,Sim,Masculino,18,Ciência da Computação,2,Discordo,Discordo,Discordo,Concordo Totalmente,Indiferente,Concordo,Concordo,Indiferente,Discordo,Discordo,Concordo,Discordo,Indiferente,Indiferente,Concordo,Indiferente,Indiferente,Indiferente,Concordo,Discordo,Concordo,Indiferente,Concordo,Discordo,Concordo,Indiferente,Discordo,"Problemas padrão identificados pela maioria. Não os lembro de cabeça, mas acredito que vocês já viram eles enquanto nos atendiam.","Imagino que não seja ideal um coordenador poder criar outro coordenador, ao menos que isso tenha sentido no contexto prático. Talvez, também, ordenar os ícones da tela de cadastros para ficarem de acordo com uma ordem lógica de criação, tal qual a que seguimos no roteiro e, além disso, fazer o cadastro de usuário mais aparente.",,
22/10/2024 11:13:48,Sim,Masculino,19,Ciência da Computação,2,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,,,,
22/10/2024 11:14:52,Sim,Masculino,20,Ciência da Computação,2,Concordo,Concordo,Concordo,Discordo Totalmente,Concordo,Discordo,Discordo,Indiferente,Indiferente,Concordo,Concordo,Discordo,Discordo Totalmente,Discordo Totalmente,Indiferente,Indiferente,Indiferente,Indiferente,Concordo Totalmente,Concordo Totalmente,Discordo,Indiferente,Indiferente,Concordo Totalmente,Concordo,Discordo,Concordo,Complicado entender de onde e para onde ir para cadastrar.,Deixar mais claro os passos anteirores(informações) e sugerir proximos passos,,
23/10/2024 16:25:14,Sim,Masculino,24,Ciência da Computação,3,Discordo,Indiferente,Discordo,Discordo,Discordo,Concordo,Concordo Totalmente,Concordo,Concordo,Indiferente,Indiferente,Indiferente,Concordo,Discordo,Discordo,Discordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo,Indiferente,Discordo,,,,
23/10/2024 16:27:35,Sim,Masculino,20,Ciência da Computação,3,Concordo,Concordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Indiferente,Discordo,Concordo,Concordo,Concordo,Indiferente,Indiferente,Concordo,Concordo,Concordo,Discordo,Concordo,Discordo,Indiferente,Indiferente,Indiferente,,A parte de vincular é pouco intuitiva na primeira interação,,
23/10/2024 16:27:41,Sim,Masculino,21,Ciência da Computação,3,Discordo,Discordo,Discordo Totalmente,Concordo,Discordo,Concordo Totalmente,Indiferente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Indiferente,Indiferente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo,Discordo,Discordo,"Tem momentos, como no cadastro de rotas, que você se esquece de preencher um campo (como descrição) e o sistema te deixa passar por todas as etapas para só no final te avisar que precisa preencher aquele campo. Em alguns momentos, como no cadastro de imóveis ou quarteirões, seria interessante não perder todas as informações na hora de cadastrar outro.","O sistema poderia fazer algumas coisas automaticamente, como já buscar no mapa quando você escreve a rua (sem precisar clicar na lupa).",,
23/10/2024 16:29:51,Sim,Masculino,21,Ciência da Computação,3,Concordo,Concordo,Concordo Totalmente,Indiferente,Concordo Totalmente,Discordo,Concordo,Discordo,Discordo,Concordo Totalmente,Concordo Totalmente,Discordo,Discordo,Indiferente,Concordo,Indiferente,Discordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Indiferente,Discordo,Indiferente,Concordo,Concordo,Concordo,"Algumas partes de formularios nao davam para serem preenchidas sem atualizar a página ou começar o processo de cadastro de novo.

",,,
23/10/2024 16:30:14,Sim,Prefiro não informar,20,Ciência da Computação,3,Discordo,Indiferente,Indiferente,Indiferente,Indiferente,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Discordo,Discordo,Concordo,Discordo,Concordo,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Indiferente,Discordo Totalmente,Discordo,Concordo,,,,
23/10/2024 16:33:10,Sim,Masculino,20,Ciência da Computação,3,Concordo,Concordo,Discordo,Discordo,Concordo,Discordo,Indiferente,Concordo Totalmente,Concordo,Concordo,Concordo,Discordo,Discordo,Indiferente,Concordo,Indiferente,Discordo Totalmente,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,Discordo Totalmente,Discordo Totalmente,"Poderia ter um tutorial, sem ajuda é difícil a primeira vez",Tutorial,,
23/10/2024 16:34:45,Sim,Masculino,20,Ciência da Computação,3,Discordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Indiferente,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Concordo,Discordo Totalmente,Discordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Discordo,"1 - Não sei se é algo específico da área, mas quando indicado para escolher o lado do quarteirão devo identificá-lo apenas com número de 1 até 4, porém houveram quarteirões com mais de 4 lados.

2 - Na sequência do imóvel o sistema não aceita o número 0, porém acredito fortemente, que possa existir imóveis que possuam essa sequência.

3 - Quando registrando uma rota o sistema pede por uma descrição, a um primeiro olhar não indica que é obrigatório, porém ao finalizar o fluxo o sistema me retornou erro falando que eu deveria ter adicionado uma descrição, fazendo eu ter de retornar o fluxo inteiro do cadastro, apenas para inserir uma descrição.","1 - O ícone no canto superio esquerdo não há nenhuma resposta, quando pressionado, apesar de ser quase que intuitivo que ele fosse me retornar a primeira tela quando acessei o sistema.

2 - A lista de cadastros possíveis só aparece quando clico em cadastro, porém depois ela se mantém para sempre, isso causou uma confusão inicial ao usar o sistema.

ps.: Gostei bastante da utilização do sistema, bem responsivo e de fácil utilização após um primeiro ""estudo"".",,
23/10/2024 16:35:53,Sim,Masculino,22,Ciência da Computação,3,Indiferente,Indiferente,Indiferente,Concordo Totalmente,Concordo,Indiferente,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo Totalmente,Indiferente,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Indiferente,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,,,,
